Dataset,threshold,parallelism,max n-ary,relations,attributes,unary,n-ary,attributes_per_layer,candidates_per_layer,pINDs_per_layer,CHUNK_SIZE,SORT_SIZE,MERGE_SIZE,VALIDATION_SIZE,total_time,sort_times,merge_times,validate_times,generate_times,CHUNK_FILES,SORT_FILES,MERGE_FILES,use_filter,refine_filter
TPCH_1,1.0,7,1,8,61,96,0,[61],[3660],[96],6045779,7718605,634,282752,41873,[17131],[7577],[4689],,25,25,8,True,True
european union,1.0,6,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",11345138,3002678,754,539115,49053,"[15510, 2967, 1829, 177, 86, 4]","[5398, 133, 599, 50, 9, 1]","[3363, 286, 335, 86, 28, 5]","[105, 130, 47, 26, 5, 0]",44,96,85,True,True
data.gov,1.0,6,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",11345138,3002678,754,539115,207913,"[18041, 16520, 41190, 48168, 42612, 19943, 2452]","[2838, 238, 411, 579, 514, 134, 0]","[2972, 191, 79, 83, 66, 22, 4]","[62, 216, 405, 274, 140, 15, 0]",26,84,34,True,True
TPCH_1,1.0,6,1,8,61,96,0,[61],[3660],[96],11345138,3002678,754,539115,43972,[19687],[7021],[4646],,17,18,8,True,True
data.gov,1.0,4,1,16,255,753,0,[255],[64770],[753],10327325,8123467,1007,274782,32392,[17625],[2676],[2546],,27,27,16,True,True
european union,1.0,4,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",10327325,8123467,1007,274782,51214,"[17015, 4331, 1974, 176, 93, 8]","[5353, 135, 635, 45, 10, 0]","[3413, 293, 393, 77, 29, 7]","[93, 125, 74, 25, 1, 2]",47,101,85,True,True
data.gov,1.0,4,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",10327325,8123467,1007,274782,216794,"[17915, 21536, 45272, 48229, 43410, 18288, 2065]","[3904, 275, 438, 585, 538, 143, 0]","[2912, 231, 78, 100, 99, 27, 0]","[60, 244, 583, 299, 135, 11, 0]",27,86,34,True,True
TPCH_1,1.0,4,1,8,61,96,0,[61],[3660],[96],10327325,8123467,1007,274782,47245,[23186],[6830],[4342],,18,18,8,True,True
european union,1.0,11,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",640713,178979,1942,770531,45627,"[12646, 2358, 1794, 168, 85, 0]","[5810, 180, 1095, 44, 10, 0]","[3431, 307, 320, 85, 33, 5]","[100, 146, 38, 25, 7, 0]",220,397,85,True,True
data.gov,1.0,11,-1,16,255,753,215308,"[255, 763, 2926, 7733, 10014, 4681, 2]","[64770, 10800, 68794, 148183, 67780, 7965, 1]","[753, 5135, 40014, 99767, 62652, 7739, 1]",640713,178979,1942,770531,120877,"[10402, 11899, 23386, 21644, 16895, 7301, 1068]","[4197, 1371, 2292, 3950, 1697, 302, 1]","[2377, 154, 68, 90, 69, 23, 9]","[60, 221, 431, 246, 95, 12, 0]",237,1123,34,True,True
