Dataset,threshold,parallelism,max n-ary,relations,attributes,unary,n-ary,attributes_per_layer,candidates_per_layer,pINDs_per_layer,CHUNK_SIZE,SORT_SIZE,MERGE_SIZE,VALIDATION_SIZE,total_time,sort_times,merge_times,validate_times,generate_times,CHUNK_FILES,SORT_FILES,MERGE_FILES,use_filter,refine_filter
european union,1.0,4,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",13746676,4444543,1819,192964,49911,"[16370, 4655, 1811, 174, 78, 5]","[5347, 134, 550, 37, 10, 1]","[3371, 312, 399, 85, 31, 5]","[92, 124, 175, 35, 6, 1]",44,96,85,True,True
data.gov,1.0,4,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",13746676,4444543,1819,192964,54353,"[18683, 20504]","[2763, 194]","[2820, 142]",[54],23,39,25,True,True
TPCH_1,1.0,4,1,8,61,96,0,[61],[3660],[96],13746676,4444543,1819,192964,44638,[22176],[5816],[4443],,14,15,8,True,True
european union,1.0,3,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",7506273,9928862,1458,851672,52857,"[18327, 5047, 1802, 172, 86, 4]","[5209, 144, 548, 38, 10, 1]","[3445, 273, 429, 87, 33, 4]","[93, 121, 206, 30, 5, 0]",51,108,85,True,True
data.gov,1.0,3,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",7506273,9928862,1458,851672,60812,"[20576, 25354]","[2611, 301]","[2651, 179]",[59],31,55,25,True,True
TPCH_1,1.0,3,1,8,61,96,0,[61],[3660],[96],7506273,9928862,1458,851672,49464,[25865],[6898],[4501],,21,21,8,True,True
european union,1.0,4,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",6252335,4087671,1234,515858,49803,"[16431, 3929, 1873, 174, 87, 5]","[5286, 151, 600, 39, 11, 1]","[3348, 288, 356, 96, 32, 5]","[95, 125, 213, 26, 5, 1]",53,111,85,True,True
data.gov,1.0,4,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",6252335,4087671,1234,515858,52953,"[16870, 20869]","[2937, 348]","[2548, 163]",[58],36,65,25,True,True
TPCH_1,1.0,4,1,8,61,96,0,[61],[3660],[96],6252335,4087671,1234,515858,45951,[21537],[7448],[4535],,25,25,8,True,True
european union,1.0,8,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",7170186,21764965,307,654138,48845,"[16455, 3147, 1862, 177, 93, 4]","[5447, 124, 561, 40, 13, 1]","[3347, 350, 316, 88, 31, 5]","[108, 130, 194, 22, 5, 0]",51,108,85,True,True
data.gov,1.0,8,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",7170186,21764965,307,654138,43972,"[15154, 13326]","[2917, 348]","[2793, 146]",[59],34,61,25,True,True
TPCH_1,1.0,8,1,8,61,96,0,[61],[3660],[96],7170186,21764965,307,654138,40900,[16290],[7225],[4739],,22,22,8,True,True
european union,1.0,3,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",2189569,20778879,1504,785296,54512,"[19046, 4823, 1973, 181, 89, 4]","[5420, 164, 621, 41, 10, 1]","[3509, 290, 608, 85, 30, 5]","[94, 113, 195, 26, 6, 1]",88,166,85,True,True
data.gov,1.0,3,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",2189569,20778879,1504,785296,60420,"[19122, 24467]","[3057, 639]","[2666, 140]",[53],79,151,25,True,True
TPCH_1,1.0,3,1,8,61,96,0,[61],[3660],[96],2189569,20778879,1504,785296,52902,[27039],[9289],[4581],,58,58,8,True,True
european union,1.0,11,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",359398,33789937,650,538441,46807,"[13959, 2309, 1883, 206, 87, 4]","[5537, 136, 598, 40, 10, 1]","[3373, 304, 302, 77, 33, 5]","[95, 128, 174, 21, 6, 0]",366,604,98,True,True
data.gov,1.0,11,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",359398,33789937,650,538441,39127,"[9583, 11878]","[4220, 1284]","[2284, 158]",[63],415,822,39,True,True
TPCH_1,1.0,11,1,8,61,96,0,[61],[3660],[96],359398,33789937,650,538441,43986,[12946],[12185],[4084],,331,331,13,True,True
european union,1.0,10,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",13002459,34166077,1900,98744,47456,"[14489, 3214, 1990, 170, 97, 5]","[5557, 124, 607, 39, 11, 1]","[3342, 309, 318, 84, 32, 5]","[99, 116, 179, 25, 5, 0]",44,96,85,True,True
data.gov,1.0,10,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",13002459,34166077,1900,98744,47023,"[15790, 15632]","[2484, 208]","[2783, 152]",[74],23,39,25,True,True
TPCH_1,1.0,10,1,8,61,96,0,[61],[3660],[96],13002459,34166077,1900,98744,54555,[30369],[7207],[4286],,16,16,8,True,True
european union,1.0,8,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",9778282,31986614,1408,34572,47400,"[15247, 2790, 1865, 160, 78, 4]","[5384, 138, 581, 38, 10, 1]","[3349, 305, 338, 86, 30, 4]","[95, 140, 41, 26, 6, 0]",47,101,85,True,True
data.gov,1.0,8,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",9778282,31986614,1408,34572,42023,"[12998, 13399]","[2848, 245]","[2852, 150]",[64],28,49,25,True,True
TPCH_1,1.0,8,1,8,61,96,0,[61],[3660],[96],9778282,31986614,1408,34572,41830,[18656],[6780],[3842],,18,18,8,True,True
european union,1.0,4,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",11559325,10290201,1464,632304,50846,"[16688, 4803, 1859, 204, 78, 4]","[5510, 127, 588, 40, 9, 1]","[3489, 308, 394, 86, 29, 5]","[92, 126, 45, 25, 4, 0]",44,96,85,True,True
data.gov,1.0,4,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",11559325,10290201,1464,632304,56267,"[21179, 20060]","[2756, 239]","[2748, 157]",[54],26,45,25,True,True
TPCH_1,1.0,4,1,8,61,96,0,[61],[3660],[96],11559325,10290201,1464,632304,46834,[23334],[6528],[4801],,17,17,8,True,True
european union,1.0,2,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",11049278,26988241,1382,651877,57960,"[21537, 6624, 1912, 188, 88, 4]","[5406, 167, 593, 40, 10, 1]","[3573, 262, 476, 78, 28, 5]","[91, 83, 104, 37, 6, 0]",46,100,85,True,True
data.gov,1.0,2,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",11049278,26988241,1382,651877,80399,"[27452, 36073]","[3245, 244]","[2907, 163]",[50],27,47,25,True,True
TPCH_1,1.0,2,1,8,61,96,0,[61],[3660],[96],11049278,26988241,1382,651877,58216,[34063],[7043],[4909],,17,17,8,True,True
european union,1.0,10,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",5842451,23465493,1852,219387,46750,"[14822, 2729, 1909, 198, 78, 4]","[5553, 142, 585, 37, 9, 1]","[3381, 295, 310, 79, 29, 5]","[95, 128, 178, 23, 5, 1]",54,112,85,True,True
data.gov,1.0,10,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",5842451,23465493,1852,219387,41178,"[13291, 12015]","[3020, 383]","[2614, 230]",[60],38,69,25,True,True
TPCH_1,1.0,10,1,8,61,96,0,[61],[3660],[96],5842451,23465493,1852,219387,40266,[16376],[7541],[4091],,26,26,8,True,True
european union,1.0,11,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",5885610,23441730,942,36006,48043,"[14491, 2493, 2048, 169, 80, 5]","[5383, 130, 589, 38, 9, 1]","[3397, 268, 302, 100, 33, 5]","[105, 140, 39, 32, 6, 1]",54,112,85,True,True
data.gov,1.0,11,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",5885610,23441730,942,36006,41545,"[13501, 11921]","[3055, 348]","[2749, 262]",[62],38,69,25,True,True
TPCH_1,1.0,11,1,8,61,96,0,[61],[3660],[96],5885610,23441730,942,36006,39691,[14570],[8442],[4215],,26,26,8,True,True
european union,1.0,11,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",3526832,245297,276,748907,46847,"[14501, 2478, 1736, 183, 77, 4]","[5447, 175, 1055, 40, 9, 1]","[3401, 287, 378, 80, 28, 5]","[114, 128, 170, 22, 5, 0]",67,150,85,True,True
data.gov,1.0,11,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",3526832,245297,276,748907,40135,"[11351, 11175]","[4970, 488]","[2320, 138]",[61],53,131,27,True,True
TPCH_1,1.0,11,1,8,61,96,0,[61],[3660],[96],3526832,245297,276,748907,40576,[15570],[8113],[4493],,39,125,14,True,True
european union,1.0,12,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",8267898,17059941,430,825049,47154,"[14558, 2433, 2057, 180, 85, 4]","[5357, 132, 650, 39, 11, 1]","[3461, 227, 326, 80, 32, 5]","[92, 125, 43, 22, 6, 0]",49,104,85,True,True
data.gov,1.0,12,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",8267898,17059941,430,825049,39022,"[11402, 11770]","[2935, 284]","[2898, 211]",[67],30,53,25,True,True
TPCH_1,1.0,12,1,8,61,96,0,[61],[3660],[96],8267898,17059941,430,825049,40128,[15891],[7084],[4744],,20,20,8,True,True
european union,1.0,4,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",9928573,24895865,1009,406811,50272,"[16654, 4343, 1837, 177, 101, 6]","[5422, 129, 602, 38, 13, 1]","[3384, 300, 390, 94, 39, 6]","[93, 133, 204, 30, 8, 0]",47,101,85,True,True
data.gov,1.0,4,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",9928573,24895865,1009,406811,54898,"[18265, 20678]","[3536, 267]","[2833, 149]",[53],27,47,25,True,True
TPCH_1,1.0,4,1,8,61,96,0,[61],[3660],[96],9928573,24895865,1009,406811,44875,[21466],[6634],[4465],,18,18,8,True,True
european union,1.0,1,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",3552139,239405,183,732951,75583,"[31210, 12329, 2168, 274, 136, 4]","[5282, 216, 1032, 45, 12, 1]","[3649, 310, 587, 90, 31, 5]","[87, 103, 106, 39, 7, 0]",67,150,85,True,True
data.gov,1.0,1,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",3552139,239405,183,732951,134691,"[46308, 64126]","[5210, 569]","[3460, 177]",[59],53,131,25,True,True
TPCH_1,1.0,1,1,8,61,96,0,[61],[3660],[96],3552139,239405,183,732951,93180,[61919],[12100],[5517],,39,152,8,True,True
european union,1.0,2,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",7047010,28230395,77,468486,57808,"[21438, 6964, 1932, 193, 79, 4]","[5441, 155, 758, 38, 9, 1]","[3483, 289, 458, 78, 26, 5]","[97, 98, 168, 26, 6, 1]",52,109,85,True,True
data.gov,1.0,2,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",7047010,28230395,77,468486,77179,"[26651, 34582]","[2696, 320]","[2817, 150]",[54],34,61,25,True,True
TPCH_1,1.0,2,1,8,61,96,0,[61],[3660],[96],7047010,28230395,77,468486,58016,[34139],[7065],[4571],,22,22,8,True,True
european union,1.0,1,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",5784357,5354229,1066,61780,75447,"[31063, 12347, 2204, 280, 135, 4]","[5459, 174, 621, 47, 14, 1]","[3428, 296, 580, 93, 29, 12]","[97, 93, 76, 44, 8, 1]",54,112,85,True,True
data.gov,1.0,1,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",5784357,5354229,1066,61780,131538,"[45894, 62604]","[4370, 397]","[3292, 187]",[56],38,69,25,True,True
TPCH_1,1.0,1,1,8,61,96,0,[61],[3660],[96],5784357,5354229,1066,61780,86769,[59641],[8665],[4906],,26,26,8,True,True
european union,1.0,6,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",4042195,39106284,1082,313986,48004,"[15462, 3128, 1838, 173, 91, 5]","[5331, 126, 545, 49, 12, 1]","[3388, 293, 365, 95, 36, 7]","[103, 128, 201, 25, 7, 1]",63,127,85,True,True
data.gov,1.0,6,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",4042195,39106284,1082,313986,43686,"[13264, 15241]","[3006, 475]","[2371, 169]",[55],47,87,25,True,True
TPCH_1,1.0,6,1,8,61,96,0,[61],[3660],[96],4042195,39106284,1082,313986,44786,[17528],[10460],[4292],,34,34,8,True,True
european union,1.0,3,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",2550540,19603643,1501,716855,53328,"[18486, 4975, 1775, 181, 81, 4]","[5350, 144, 604, 38, 9, 1]","[3584, 262, 451, 88, 30, 5]","[89, 122, 155, 32, 5, 1]",80,153,85,True,True
data.gov,1.0,3,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",2550540,19603643,1501,716855,59790,"[19272, 24417]","[2880, 572]","[2537, 141]",[54],69,131,25,True,True
TPCH_1,1.0,3,1,8,61,96,0,[61],[3660],[96],2550540,19603643,1501,716855,57470,[26548],[14102],[4533],,51,51,8,True,True
european union,1.0,6,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",9994870,22889049,1051,323599,48296,"[15172, 3187, 1885, 167, 76, 4]","[5521, 142, 533, 38, 10, 1]","[3377, 280, 330, 89, 28, 5]","[97, 124, 42, 26, 6, 0]",47,101,85,True,True
data.gov,1.0,6,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",9994870,22889049,1051,323599,46572,"[14745, 16094]","[3236, 248]","[2343, 175]",[62],27,47,25,True,True
TPCH_1,1.0,6,1,8,61,96,0,[61],[3660],[96],9994870,22889049,1051,323599,42001,[18056],[6836],[4567],,18,18,8,True,True
european union,1.0,11,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",7969299,33494038,1154,730667,48106,"[14607, 2482, 2021, 176, 93, 4]","[5427, 142, 662, 39, 11, 1]","[3495, 281, 323, 102, 35, 4]","[95, 128, 167, 27, 6, 0]",49,104,85,True,True
data.gov,1.0,11,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",7969299,33494038,1154,730667,38766,"[11642, 11693]","[2786, 279]","[2513, 138]",[58],30,53,25,True,True
TPCH_1,1.0,11,1,8,61,96,0,[61],[3660],[96],7969299,33494038,1154,730667,40780,[16954],[7010],[4318],,21,21,8,True,True
european union,1.0,6,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",1235318,25698952,535,908514,48405,"[15934, 3278, 1814, 174, 77, 4]","[5427, 123, 542, 37, 10, 1]","[3418, 312, 365, 87, 29, 5]","[95, 134, 43, 24, 5, 0]",129,231,85,True,True
data.gov,1.0,6,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",1235318,25698952,535,908514,44193,"[11976, 15384]","[3681, 898]","[2463, 136]",[55],129,251,25,True,True
TPCH_1,1.0,6,1,8,61,96,0,[61],[3660],[96],1235318,25698952,535,908514,43939,[16917],[10369],[4439],,99,99,8,True,True
european union,1.0,6,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",12891100,38130885,86,124022,49703,"[15680, 3367, 1997, 176, 92, 5]","[5515, 122, 593, 39, 10, 1]","[3374, 289, 325, 87, 30, 5]","[92, 133, 183, 37, 6, 0]",44,96,85,True,True
data.gov,1.0,6,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",12891100,38130885,86,124022,46022,"[15160, 15713]","[2591, 244]","[2424, 149]",[68],23,39,25,True,True
TPCH_1,1.0,6,1,8,61,96,0,[61],[3660],[96],12891100,38130885,86,124022,44006,[21364],[6144],[4006],,16,16,8,True,True
european union,1.0,8,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",2237348,2107952,1191,288569,47829,"[15247, 2693, 1907, 193, 82, 4]","[5533, 129, 865, 38, 9, 1]","[3388, 315, 340, 89, 29, 5]","[101, 127, 169, 23, 5, 0]",88,167,85,True,True
data.gov,1.0,8,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",2237348,2107952,1191,288569,40941,"[11355, 12972]","[3687, 651]","[2367, 189]",[64],78,149,25,True,True
TPCH_1,1.0,8,1,8,61,96,0,[61],[3660],[96],2237348,2107952,1191,288569,42195,[15989],[9501],[4550],,57,57,8,True,True
european union,1.0,2,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",2473879,2276305,1197,375089,58552,"[21642, 6900, 1934, 170, 97, 5]","[5467, 149, 886, 44, 11, 1]","[3551, 276, 524, 81, 29, 5]","[89, 103, 138, 29, 6, 0]",83,159,85,True,True
data.gov,1.0,2,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",2473879,2276305,1197,375089,86552,"[26697, 34745]","[3200, 593]","[2798, 200]",[58],71,135,25,True,True
TPCH_1,1.0,2,1,8,61,96,0,[61],[3660],[96],2473879,2276305,1197,375089,61219,[35442],[8948],[4666],,52,52,8,True,True
european union,1.0,1,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",8359122,37793162,1799,309202,76304,"[31123, 13759, 2404, 299, 147, 4]","[5324, 165, 615, 69, 13, 1]","[3540, 294, 547, 106, 36, 6]","[93, 98, 68, 56, 10, 0]",49,104,85,True,True
data.gov,1.0,1,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",8359122,37793162,1799,309202,134405,"[47891, 63672]","[4475, 338]","[3368, 177]",[54],30,53,25,True,True
TPCH_1,1.0,1,1,8,61,96,0,[61],[3660],[96],8359122,37793162,1799,309202,88712,[61771],[8031],[5045],,20,20,8,True,True
european union,1.0,6,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",728574,15484365,488,994787,48210,"[15585, 3014, 1845, 194, 83, 4]","[5378, 142, 580, 41, 10, 1]","[3396, 296, 348, 82, 29, 5]","[108, 134, 43, 24, 6, 0]",197,339,85,True,True
data.gov,1.0,6,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",728574,15484365,488,994787,47143,"[12625, 15778]","[4851, 1234]","[2501, 137]",[57],208,409,27,True,True
TPCH_1,1.0,6,1,8,61,96,0,[61],[3660],[96],728574,15484365,488,994787,43939,[15850],[9925],[4399],,165,165,10,True,True
european union,1.0,7,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",10862414,1258557,1334,804032,49030,"[15630, 2874, 1812, 172, 86, 4]","[5549, 141, 850, 39, 9, 1]","[3338, 310, 349, 85, 28, 4]","[97, 144, 39, 25, 5, 1]",46,102,85,True,True
data.gov,1.0,7,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",10862414,1258557,1334,804032,45881,"[15399, 14599]","[2859, 247]","[2822, 165]",[70],27,48,25,True,True
TPCH_1,1.0,7,1,8,61,96,0,[61],[3660],[96],10862414,1258557,1334,804032,44411,[19374],[7715],[4776],,17,29,8,True,True
european union,1.0,8,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",2519590,18421259,518,112069,48674,"[15789, 2826, 1872, 194, 82, 5]","[5370, 133, 529, 47, 9, 1]","[3399, 317, 317, 83, 31, 5]","[93, 155, 42, 32, 5, 0]",81,154,85,True,True
data.gov,1.0,8,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",2519590,18421259,518,112069,40219,"[11489, 13027]","[3303, 582]","[2434, 135]",[56],69,131,25,True,True
TPCH_1,1.0,8,1,8,61,96,0,[61],[3660],[96],2519590,18421259,518,112069,41641,[15663],[9646],[4065],,52,52,8,True,True
european union,1.0,9,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",2608515,28047706,218,977759,47400,"[14855, 2395, 1827, 164, 83, 4]","[5637, 145, 646, 46, 10, 0]","[3367, 305, 343, 89, 29, 5]","[92, 124, 39, 24, 5, 1]",80,153,85,True,True
data.gov,1.0,9,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",2608515,28047706,218,977759,39843,"[11013, 12351]","[3490, 557]","[2400, 186]",[57],67,127,25,True,True
TPCH_1,1.0,9,1,8,61,96,0,[61],[3660],[96],2608515,28047706,218,977759,40980,[14704],[9655],[4326],,50,50,10,True,True
european union,1.0,6,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",14700453,30831674,1459,251545,48475,"[15395, 3579, 1969, 186, 84, 6]","[5400, 132, 614, 38, 9, 1]","[3458, 260, 318, 95, 31, 6]","[96, 145, 48, 21, 5, 0]",43,95,85,True,True
data.gov,1.0,6,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",14700453,30831674,1459,251545,49353,"[16829, 17190]","[2757, 206]","[2838, 146]",[65],23,39,25,True,True
TPCH_1,1.0,6,1,8,61,96,0,[61],[3660],[96],14700453,30831674,1459,251545,45465,[22464],[6121],[4320],,14,14,8,True,True
european union,1.0,8,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",11483504,14832111,651,833636,47253,"[15078, 3124, 1805, 166, 82, 4]","[5436, 128, 595, 38, 9, 1]","[3404, 279, 350, 88, 31, 5]","[89, 123, 44, 26, 5, 1]",44,96,85,True,True
data.gov,1.0,8,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",11483504,14832111,651,833636,47430,"[17646, 13818]","[2835, 238]","[3022, 158]",[55],26,45,25,True,True
TPCH_1,1.0,8,1,8,61,96,0,[61],[3660],[96],11483504,14832111,651,833636,44696,[20809],[6550],[5015],,17,17,8,True,True
european union,1.0,9,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",8251767,6180063,183,123268,46377,"[14545, 2646, 1816, 165, 87, 4]","[5459, 129, 584, 38, 10, 1]","[3389, 291, 312, 85, 29, 5]","[93, 127, 42, 23, 5, 0]",49,104,85,True,True
data.gov,1.0,9,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",8251767,6180063,183,123268,41792,"[11995, 13056]","[2984, 314]","[2375, 289]",[62],30,53,25,True,True
TPCH_1,1.0,9,1,8,61,96,0,[61],[3660],[96],8251767,6180063,183,123268,42975,[18526],[8189],[3934],,20,20,8,True,True
european union,1.0,9,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",12769284,8477351,954,236524,47097,"[14529, 3441, 1841, 177, 82, 4]","[5379, 129, 597, 39, 9, 1]","[3361, 332, 304, 88, 30, 5]","[94, 124, 45, 24, 5, 0]",44,96,85,True,True
data.gov,1.0,9,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",12769284,8477351,954,236524,46363,"[15678, 15392]","[2791, 215]","[2679, 218]",[65],23,39,25,True,True
TPCH_1,1.0,9,1,8,61,96,0,[61],[3660],[96],12769284,8477351,954,236524,43711,[20219],[6798],[4237],,16,16,8,True,True
european union,1.0,9,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",11806731,14479068,185,657042,48843,"[14813, 2935, 1903, 184, 79, 5]","[5356, 137, 583, 39, 12, 1]","[3504, 288, 291, 86, 32, 6]","[103, 130, 175, 26, 6, 0]",44,96,85,True,True
data.gov,1.0,9,2,16,255,753,5135,"[255, 763]","[64770, 10800]","[753, 5135]",11806731,14479068,185,657042,49250,"[18784, 14501]","[2992, 276]","[2554, 164]",[59],25,43,25,True,True
TPCH_1,1.0,9,1,8,61,96,0,[61],[3660],[96],11806731,14479068,185,657042,50412,[26736],[6469],[4542],,17,17,8,True,True
european union,1.0,1,-1,37,624,18752,54634,"[624, 1541, 7698, 4007, 2980, 247]","[388752, 22036, 29053, 21452, 6488, 216]","[18752, 5317, 21161, 21452, 6488, 216]",13844904,3134667,1875,775966,77568,"[31981, 13855, 2292, 281, 140, 5]","[5263, 173, 616, 46, 13, 1]","[3798, 306, 596, 86, 30, 4]","[97, 115, 69, 34, 8, 1]",44,96,85,True,True
